Borough,Date,Time,Level of Offense,Location Description,Crime Description,Latitude,Longitude,Lat_Lon
Brooklyn,02/08/2023,15:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",40.600509,-73.95162,"(40.600509, -73.95162)"
Queens,02/08/2023,12:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.74185,-73.85069,"(40.74185, -73.85069)"
Manhattan,02/09/2023,19:35:00,MISDEMEANOR,INSIDE,"CONTROLLED SUBSTANCE, POSSESSI",40.835044,-73.93812,"(40.835044, -73.93812)"
Manhattan,02/09/2023,18:18:00,MISDEMEANOR,FRONT OF,OBSTR BREATH/CIRCUL,40.866735,-73.925259,"(40.866735, -73.925259)"
Brooklyn,02/10/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",40.630821,-74.012624,"(40.630821, -74.012624)"
Manhattan,02/10/2023,22:00:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.813099,-73.938471,"(40.813099, -73.938471)"
Brooklyn,02/10/2023,02:10:00,MISDEMEANOR,FRONT OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.665032,-73.953738,"(40.665032, -73.953738)"
Manhattan,02/10/2023,12:25:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.780514,-73.955901,"(40.780514, -73.955901)"
Bronx,02/10/2023,12:00:00,MISDEMEANOR,INSIDE,UNAUTHORIZED USE VEHICLE 3,40.855429,-73.890608,"(40.855429, -73.890608)"
Brooklyn,02/10/2023,07:30:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,DAY",40.677478,-73.920895,"(40.677478, -73.920895)"
Bronx,02/10/2023,08:03:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.858051,-73.899585,"(40.858051, -73.899585)"
Staten Island,02/11/2023,19:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.573368,-74.112771,"(40.573368, -74.112771)"
Bronx,02/11/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.832105797755155,-73.88431377082267,"(40.832105797755155, -73.88431377082267)"
Bronx,02/11/2023,12:50:00,FELONY,(null),"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",40.87974032858341,-73.84473468477559,"(40.87974032858341, -73.84473468477559)"
Brooklyn,02/11/2023,00:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.689718,-73.912471,"(40.689718, -73.912471)"
Bronx,02/11/2023,22:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM PERSON,PICK",40.838302,-73.859159,"(40.838302, -73.859159)"
Brooklyn,02/12/2023,09:19:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.612018,-73.980444,"(40.612018, -73.980444)"
Queens,02/12/2023,11:37:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.748688,-73.884123,"(40.748688, -73.884123)"
Manhattan,02/13/2023,14:10:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.810294,-73.945503,"(40.810294, -73.945503)"
Brooklyn,02/13/2023,09:00:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.660127,-73.919019,"(40.660127, -73.919019)"
Bronx,02/13/2023,22:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.883626,-73.87815,"(40.883626, -73.87815)"
Manhattan,02/14/2023,22:22:00,MISDEMEANOR,(null),"THEFT OF SERVICES, UNCLASSIFIE",40.71088719343993,-74.00906088716646,"(40.71088719343993, -74.00906088716646)"
Brooklyn,02/14/2023,14:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.668734,-73.867863,"(40.668734, -73.867863)"
Manhattan,02/15/2023,15:50:00,FELONY,INSIDE,"LARCENY,GRAND BY ACQUIRING LOS",40.787307,-73.9782,"(40.787307, -73.9782)"
Manhattan,02/15/2023,20:33:00,MISDEMEANOR,FRONT OF,"FORGERY,ETC.-MISD.",40.796382,-73.964958,"(40.796382, -73.964958)"
Bronx,02/15/2023,19:05:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 1,CIVILIAN",40.833723,-73.856192,"(40.833723, -73.856192)"
Queens,02/15/2023,20:00:00,FELONY,FRONT OF,"ROBBERY,DELIVERY PERSON",40.690751,-73.812406,"(40.690751, -73.812406)"
Queens,02/15/2023,09:00:00,MISDEMEANOR,INSIDE,MATERIAL              OFFENSIV,40.751208,-73.937182,"(40.751208, -73.937182)"
Manhattan,02/15/2023,12:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.763978,-73.955849,"(40.763978, -73.955849)"
Bronx,02/15/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",40.813527,-73.910483,"(40.813527, -73.910483)"
Bronx,02/15/2023,08:14:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.885545,-73.865086,"(40.885545, -73.865086)"
Staten Island,02/16/2023,00:01:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.553663,-74.138131,"(40.553663, -74.138131)"
Manhattan,02/16/2023,14:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",40.772391,-73.949707,"(40.772391, -73.949707)"
Bronx,02/16/2023,09:03:00,FELONY,INSIDE,"BURGLARY,COMMERCIAL,DAY",40.821988,-73.915012,"(40.821988, -73.915012)"
Brooklyn,02/16/2023,07:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.681311,-73.956509,"(40.681311, -73.956509)"
Manhattan,02/17/2023,20:02:00,MISDEMEANOR,(null),"LARCENY,PETIT FROM STORE-SHOPL",40.792617,-73.95023,"(40.792617, -73.95023)"
Brooklyn,02/17/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN BANK ACCT",40.607065,-73.92463,"(40.607065, -73.92463)"
Queens,02/17/2023,18:30:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.762554,-73.941075,"(40.762554, -73.941075)"
Queens,02/17/2023,17:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.739221,-73.884524,"(40.739221, -73.884524)"
Queens,02/17/2023,10:00:00,MISDEMEANOR,(null),"LARCENY,PETIT FROM BUILDING,UN",40.601151,-73.756708,"(40.601151, -73.756708)"
Brooklyn,02/18/2023,18:20:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.687748,-73.920959,"(40.687748, -73.920959)"
Queens,02/18/2023,09:00:00,MISDEMEANOR,INSIDE,MATERIAL              OFFENSIV,40.679431,-73.825104,"(40.679431, -73.825104)"
Queens,02/18/2023,15:05:00,FELONY,FRONT OF,CRIMINAL CONTEMPT 1,40.717518,-73.783632,"(40.717518, -73.783632)"
Queens,02/20/2023,21:45:00,FELONY,OUTSIDE,(null),40.68623422310812,-73.82417476733417,"(40.68623422310812, -73.82417476733417)"
Bronx,02/20/2023,09:00:00,FELONY,(null),"STOLEN PROPERTY-MOTOR VEH 2ND,",40.90651202084227,-73.84888310009246,"(40.90651202084227, -73.84888310009246)"
Queens,02/20/2023,00:01:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.682398279333,-73.8400721577516,"(40.682398279333, -73.8400721577516)"
Brooklyn,02/20/2023,22:20:00,MISDEMEANOR,FRONT OF,ASSAULT 3,40.635313,-73.945002,"(40.635313, -73.945002)"
Brooklyn,02/20/2023,17:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.662511,-73.927011,"(40.662511, -73.927011)"
Manhattan,02/21/2023,21:40:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.829679,-73.940648,"(40.829679, -73.940648)"
Brooklyn,02/21/2023,05:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.653804,-73.943119,"(40.653804, -73.943119)"
Brooklyn,02/21/2023,08:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.660631,-73.927373,"(40.660631, -73.927373)"
Queens,02/21/2023,14:40:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.688801,-73.814097,"(40.688801, -73.814097)"
Queens,02/21/2023,11:30:00,FELONY,(null),"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",40.74989817118943,-73.86882527311566,"(40.74989817118943, -73.86882527311566)"
Queens,02/22/2023,19:06:00,FELONY,INSIDE,"BURGLARY,COMMERCIAL,DAY",40.743651,-73.95888,"(40.743651, -73.95888)"
Manhattan,02/22/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.828999,-73.946717,"(40.828999, -73.946717)"
Brooklyn,02/22/2023,08:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.634682,-74.005138,"(40.634682, -74.005138)"
Manhattan,02/22/2023,14:00:00,FELONY,FRONT OF,"LARCENY,GRAND PERSON,NECK CHAI",40.813767,-73.955983,"(40.813767, -73.955983)"
Queens,02/22/2023,19:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.661097,-73.766933,"(40.661097, -73.766933)"
Brooklyn,02/23/2023,02:53:00,MISDEMEANOR,INSIDE,RESISTING ARREST,40.701314,-73.981796,"(40.701314, -73.981796)"
Staten Island,02/23/2023,19:39:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.570191,-74.110036,"(40.570191, -74.110036)"
Queens,02/23/2023,15:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",40.7597,-73.923925,"(40.7597, -73.923925)"
Brooklyn,02/23/2023,10:56:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.646574,-73.956879,"(40.646574, -73.956879)"
Bronx,02/23/2023,22:30:00,FELONY,INSIDE,CRIMINAL CONTEMPT 1,40.879861,-73.880392,"(40.879861, -73.880392)"
Queens,02/23/2023,01:51:00,FELONY,(null),"ROBBERY,NECKCHAIN/JEWELRY",40.68152502359951,-73.82472439718683,"(40.68152502359951, -73.82472439718683)"
Staten Island,02/24/2023,00:07:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.59753,-74.132434,"(40.59753, -74.132434)"
Brooklyn,02/25/2023,00:01:00,FELONY,INSIDE,SODOMY 1,40.6744956865259,-73.9305713255961,"(40.6744956865259, -73.9305713255961)"
Brooklyn,02/25/2023,11:00:00,MISDEMEANOR,(null),"LARCENY,PETIT OF LICENSE PLATE",40.70155743861848,-73.98769089168144,"(40.70155743861848, -73.98769089168144)"
Brooklyn,02/25/2023,23:00:00,FELONY,FRONT OF,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",40.649352,-73.949418,"(40.649352, -73.949418)"
Manhattan,02/26/2023,07:00:00,FELONY,(null),"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",40.73975138823035,-74.00252241397993,"(40.73975138823035, -74.00252241397993)"
Brooklyn,02/26/2023,00:01:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.644116,-73.956102,"(40.644116, -73.956102)"
Brooklyn,02/26/2023,00:01:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",40.679194,-73.907352,"(40.679194, -73.907352)"
Brooklyn,02/27/2023,23:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT FROM OPEN AREAS,",40.696004,-73.983673,"(40.696004, -73.983673)"
Brooklyn,02/27/2023,09:31:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.64922,-73.935931,"(40.64922, -73.935931)"
Queens,02/27/2023,09:30:00,FELONY,INSIDE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",40.678382,-73.811275,"(40.678382, -73.811275)"
Staten Island,02/28/2023,17:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.595726,-74.107287,"(40.595726, -74.107287)"
Bronx,02/28/2023,17:15:00,FELONY,INSIDE,"CONTROLLED SUBSTANCE,POSSESS.",40.853993,-73.827597,"(40.853993, -73.827597)"
Queens,02/28/2023,14:00:00,FELONY,(null),ASSAULT POLICE/PEACE OFFICER,40.6799807384666,-73.7762339071953,"(40.6799807384666, -73.7762339071953)"
Bronx,02/28/2023,00:00:00,MISDEMEANOR,INSIDE,MATERIAL              OFFENSIV,40.842566,-73.913795,"(40.842566, -73.913795)"
Brooklyn,02/28/2023,20:45:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.688733,-73.928717,"(40.688733, -73.928717)"
Queens,02/28/2023,17:30:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.710517,-73.766229,"(40.710517, -73.766229)"
Manhattan,03/01/2023,20:06:00,MISDEMEANOR,INSIDE,UNLAWFUL DISCLOSURE OF AN INTIMATE IMAGE,40.745669,-73.987718,"(40.745669, -73.987718)"
Manhattan,03/01/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.782792,-73.949626,"(40.782792, -73.949626)"
Brooklyn,03/01/2023,00:01:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.6744956865259,-73.9305713255961,"(40.6744956865259, -73.9305713255961)"
Manhattan,03/01/2023,00:01:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.8512131676868,-73.9352160519866,"(40.8512131676868, -73.9352160519866)"
Manhattan,03/01/2023,00:01:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.8512131676868,-73.9352160519866,"(40.8512131676868, -73.9352160519866)"
Brooklyn,03/01/2023,00:01:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.696089,-73.915589,"(40.696089, -73.915589)"
Bronx,03/01/2023,00:00:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.8229123084767,-73.8700413043181,"(40.8229123084767, -73.8700413043181)"
Bronx,03/01/2023,00:01:00,FELONY,INSIDE,RAPE 2,40.8229123084767,-73.8700413043181,"(40.8229123084767, -73.8700413043181)"
Manhattan,03/01/2023,11:00:00,FELONY,INSIDE,"LARCENY,GRAND BY EXTORTION",40.765906,-73.992754,"(40.765906, -73.992754)"
Brooklyn,03/01/2023,12:00:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.692793,-73.932516,"(40.692793, -73.932516)"
Queens,03/01/2023,00:00:00,FELONY,INSIDE,RAPE 3,40.69932415739,-73.831570887672,"(40.69932415739, -73.831570887672)"
Queens,03/01/2023,14:30:00,FELONY,FRONT OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",40.759277,-73.77021,"(40.759277, -73.77021)"
Brooklyn,03/01/2023,12:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.703058,-73.919289,"(40.703058, -73.919289)"
Queens,03/01/2023,12:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.567421,-73.889001,"(40.567421, -73.889001)"
Bronx,03/01/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",40.813992,-73.900779,"(40.813992, -73.900779)"
