Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Brooklyn,07/18/2023,Sport - Adult,Ericsson Playground (JHS 126),FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,07/22/2023,Special Event,Lincoln Terrace / (Arthur S. Somers Park),FELONY,CRIMINAL CONTEMPT 1
Brooklyn,07/24/2023,Special Event,Canarsie Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Brooklyn,07/31/2023,Special Event,Colonel David Marcus Playground,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Brooklyn,08/28/2023,Sport - Adult,Bushwick Inlet Park,FELONY,"LARCENY,GRAND BY EXTORTION"
Brooklyn,09/01/2023,Sport - Adult,Dyker Beach Park,MISDEMEANOR,"LARCENY,PETIT BY CHECK USE"
Brooklyn,09/05/2023,Special Event,Sunset Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,09/05/2023,Special Event,Sunset Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Brooklyn,09/09/2023,Special Event,American Veterans Memorial Pier,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Brooklyn,09/12/2023,Sport - Youth,Betsy Head Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,09/13/2023,Sport - Adult,McLaughlin Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,09/13/2023,Sport - Adult,McLaughlin Park,MISDEMEANOR,"LARCENY,PETIT BY CHECK USE"
Brooklyn,09/22/2023,Special Event,Prospect Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Brooklyn,09/26/2023,Special Event,Friends Field,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,10/01/2023,Special Event,Canarsie Park,FELONY,"LARCENY,GRAND OF AUTO"
Brooklyn,10/01/2023,Special Event,Canarsie Park,FELONY,SODOMY 1
Brooklyn,10/02/2023,Sport - Adult,Parade Ground,FELONY,STRANGULATION 1ST
Brooklyn,10/03/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Brooklyn,10/09/2023,Sport - Adult,McLaughlin Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Brooklyn,10/09/2023,Sport - Adult,McLaughlin Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,10/14/2023,Special Event,Coney Island Beach & Boardwalk,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
Brooklyn,10/17/2023,Sport - Adult,Leif Ericson Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Brooklyn,10/19/2023,Sport - Youth,Bushwick Inlet Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,10/19/2023,Sport - Youth,Bushwick Inlet Park,MISDEMEANOR,ASSAULT 3
Brooklyn,10/20/2023,Special Event,Jackie Robinson Park (PS 21),MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,10/23/2023,Special Event,Calvert Vaux Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,10/24/2023,Sport - Adult,Red Hook Recreation Area,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,10/25/2023,Sport - Youth,Callahan-Kelly Playground,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Brooklyn,11/01/2023,Special Event,Martin Luther King Jr. Playground,FELONY,RAPE 1
Brooklyn,11/01/2023,Special Event,Martin Luther King Jr. Playground,FELONY,STRANGULATION 1ST
Brooklyn,11/03/2023,Special Event,Calvert Vaux Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Brooklyn,11/04/2023,Special Event,Osborn Playground (IS 275),MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
Brooklyn,11/04/2023,Special Event,Osborn Playground (IS 275),MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Brooklyn,11/06/2023,Special Event,Maria Hernandez Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,11/08/2023,Sport - Youth,Bath Beach Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,11/11/2023,Sport - Adult,McLaughlin Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,11/11/2023,Sport - Adult,McLaughlin Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,11/14/2023,Special Event,Brownsville Recreation Center Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Brooklyn,11/14/2023,Special Event,Brownsville Recreation Center Playground,FELONY,"LARCENY,GRAND OF BOAT"
Brooklyn,11/15/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"ADM.CODE,UNCLASSIFIED MISDEMEA"
Brooklyn,11/15/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,11/16/2023,Special Event,Marine Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,11/18/2023,Special Event,Prospect Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,11/18/2023,Special Event,Prospect Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,11/21/2023,Sport - Youth,Bushwick Playground,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Brooklyn,11/27/2023,Sport - Adult,Parade Ground,FELONY,"TAMPERING 1,CRIMINAL"
Brooklyn,11/28/2023,Sport - Youth,Mckinley Park,FELONY,"ROBBERY,DWELLING"
Brooklyn,12/01/2023,Special Event,Taaffe Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Brooklyn,12/03/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,12/03/2023,Special Event,Brower Park (PS 289 - Playground Only),MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,12/03/2023,Special Event,Brower Park (PS 289 - Playground Only),MISDEMEANOR,FALSE REPORT UNCLASSIFIED
Brooklyn,12/04/2023,Special Event,Carroll Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,12/05/2023,Sport - Youth,JHS 51 JOP,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Brooklyn,12/06/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,ASSAULT 3
Brooklyn,12/07/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,BAIL JUMPING 1 & 2
Brooklyn,12/08/2023,Special Event,Brower Park (PS 289 - Playground Only),MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,12/11/2023,Special Event,Fort Greene Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Brooklyn,12/12/2023,Special Event,Bushwick Inlet Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/15/2023,Special Event,Prospect Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Brooklyn,12/15/2023,Special Event,Prospect Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/17/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Brooklyn,12/18/2023,Special Event,Underwood Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,12/19/2023,Special Event,Bushwick Inlet Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/19/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Brooklyn,12/21/2023,Special Event,Fort Greene Park,FELONY,CRIMINAL CONTEMPT 1
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Brooklyn,12/23/2023,Special Event,Paerdegat Park,MISDEMEANOR,"MENACING,UNCLASSIFIED"
Brooklyn,12/23/2023,Special Event,Paerdegat Park,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Brooklyn,12/25/2023,Special Event,Herbert Von King Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,12/25/2023,Special Event,Herbert Von King Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,FELONY,"BURGLARY,RESIDENCE,DAY"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,FELONY,"LARCENY,GRAND OF BICYCLE"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,12/29/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,12/29/2023,Special Event,Brower Park (PS 289 - Playground Only),VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/30/2023,Special Event,Herbert Von King Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Brooklyn,12/30/2023,Special Event,Herbert Von King Park,FELONY,"ROBBERY,DWELLING"
Brooklyn,12/30/2023,Special Event,Herbert Von King Park,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Brooklyn,12/30/2023,Special Event,Herbert Von King Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,"THEFT OF SERVICES, UNCLASSIFIE"
Manhattan,04/01/2023,Special Event,Central Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,04/05/2023,Special Event,Central Park,MISDEMEANOR,ASSAULT 3
Manhattan,04/19/2023,Special Event,Central Park,MISDEMEANOR,ASSAULT 3
Manhattan,05/01/2023,Special Event,Corlears Hook Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,05/15/2023,Special Event,Corlears Hook Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,06/08/2023,Special Event,Washington Square Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Manhattan,06/20/2023,Special Event,Bryant Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Manhattan,06/20/2023,Special Event,Bryant Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,07/12/2023,Special Event,The High Line,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,07/19/2023,Special Event,City Hall Park,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Manhattan,08/13/2023,Special Event,Marcus Garvey Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Manhattan,08/13/2023,Special Event,Marcus Garvey Park,MISDEMEANOR,FALSE REPORT UNCLASSIFIED
Manhattan,08/16/2023,Sport - Adult,Morningside Park,FELONY,(null)
Manhattan,09/05/2023,Special Event,Carl Schurz Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Manhattan,10/02/2023,Sport - Adult,Pier 42,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Manhattan,10/12/2023,Sport - Adult,Central Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,10/22/2023,Special Event,Battery Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Manhattan,10/25/2023,Special Event,City Hall Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,11/01/2023,Sport - Adult,Sara D. Roosevelt Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,11/04/2023,Special Event,Damrosch Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Manhattan,11/06/2023,Sport - Youth,St Catherine's Park,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Manhattan,11/06/2023,Sport - Youth,St Catherine's Park,FELONY,"TAMPERING 1,CRIMINAL"
Manhattan,11/07/2023,Special Event,Central Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Manhattan,11/17/2023,Special Event,Union Square Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Manhattan,11/21/2023,Sport - Adult,Chelsea Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,11/23/2023,Special Event,Randall's Island Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Manhattan,11/24/2023,Sport - Adult,Tanahey Playground,MISDEMEANOR,OBSTR BREATH/CIRCUL
Manhattan,11/25/2023,Sport - Youth,Highbridge Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,11/26/2023,Special Event,Union Square Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/02/2023,Special Event,St. Nicholas Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Manhattan,12/02/2023,Special Event,St. Nicholas Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Manhattan,12/05/2023,Special Event,Washington Square Park,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Manhattan,12/08/2023,Special Event,Bennett Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Manhattan,12/10/2023,Special Event,Corlears Hook Park,FELONY,CRIMINAL CONTEMPT 1
Manhattan,12/11/2023,Sport - Adult,Sara D. Roosevelt Park,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,12/15/2023,Special Event,St Catherine's Park,MISDEMEANOR,"SEXUAL MISCONDUCT,INTERCOURSE"
Manhattan,12/17/2023,Sport - Adult,Robert Moses Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION"
Manhattan,12/17/2023,Sport - Adult,Robert Moses Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/18/2023,Special Event,City Hall Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Manhattan,12/19/2023,Special Event,Carl Schurz Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,CRIMINAL CONTEMPT 1
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER"
Manhattan,12/21/2023,Special Event,Dante Park,FELONY,"LARCENY,GRAND FROM EATERY, UNATTENDED"
Manhattan,12/21/2023,Special Event,Dante Park,MISDEMEANOR,ASSAULT 3
Manhattan,12/21/2023,Special Event,Dante Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/22/2023,Special Event,Madison Square Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Manhattan,12/22/2023,Special Event,Madison Square Park,FELONY,"LARCENY,GRAND OF BICYCLE"
Manhattan,12/23/2023,Special Event,Bowling Green,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Manhattan,12/24/2023,Special Event,Union Square Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Manhattan,12/24/2023,Special Event,Union Square Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Manhattan,12/25/2023,Special Event,Dante Park,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Manhattan,12/25/2023,Special Event,Dante Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/27/2023,Special Event,Central Park,FELONY,SODOMY 1
Manhattan,12/28/2023,Special Event,Battery Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Manhattan,12/28/2023,Special Event,Battery Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/28/2023,Special Event,Battery Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Manhattan,12/29/2023,Special Event,Dante Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Manhattan,12/30/2023,Special Event,Damrosch Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Manhattan,12/30/2023,Special Event,Damrosch Park,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"LARCENY,GRAND FROM PERSON,PICK"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,MISDEMEANOR,ASSAULT 3
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Queens,01/30/2023,Special Event,Highland Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,02/01/2023,Sport - Youth,Highland Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,02/05/2023,Special Event,Baisley Pond Park,FELONY,"ROBBERY,OPEN AREA UNCLASSIFIED"
Queens,05/10/2023,Sport - Adult,Addabbo Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,05/14/2023,Special Event,Kissena Park,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Queens,06/17/2023,Sport - Adult,Juniper Valley Park,MISDEMEANOR,ASSAULT 3
Queens,07/17/2023,Sport - Adult,Big Bush Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Queens,07/31/2023,Special Event,Fort Totten Park,MISDEMEANOR,"FORGERY,ETC.-MISD."
Queens,08/05/2023,Special Event,Flushing Meadows Corona Park,FELONY,RAPE 2
Queens,08/28/2023,Special Event,Travers Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,09/14/2023,Special Event,Playground Ninety,FELONY,UNAUTHORIZED USE VEHICLE 2
Queens,09/26/2023,Sport - Adult,Chappetto Square,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,09/26/2023,Sport - Adult,Chappetto Square,MISDEMEANOR,ASSAULT 3
Queens,10/01/2023,Sport - Adult,Frank Principe Park / Maurice Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Queens,10/04/2023,Sport - Adult,Chappetto Square,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Queens,10/05/2023,Sport - Youth,Kissena Corridor West,FELONY,RAPE 3
Queens,10/08/2023,Sport - Adult,Juniper Valley Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Queens,10/08/2023,Sport - Adult,Juniper Valley Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,10/10/2023,Sport - Adult,Murray Playground,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,10/12/2023,Sport - Adult,Queensbridge Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,10/14/2023,Special Event,Kissena Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,10/15/2023,Special Event,Brookville Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,10/17/2023,Sport - Youth,Addabbo Park,FELONY,CRIMINAL CONTEMPT 1
Queens,10/31/2023,Sport - Adult,Dutch Kills Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,11/01/2023,Sport - Youth,Flushing Meadows Corona Park,FELONY,PROMOTING A SEXUAL PERFORMANCE
Queens,11/02/2023,Special Event,Rockaway Beach and Boardwalk,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Queens,11/03/2023,Sport - Youth,Juniper Valley Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,11/07/2023,Sport - Youth,Astoria Park,MISDEMEANOR,"SEXUAL MISCONDUCT,INTERCOURSE"
Queens,11/17/2023,Sport - Adult,Corona Golf Playground,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,11/23/2023,Special Event,Travers Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,11/30/2023,Sport - Adult,Hinton Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Queens,12/02/2023,Sport - Youth,Montbellier Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Queens,12/03/2023,Sport - Adult,College Point Fields,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Queens,12/04/2023,Special Event,Playground Ninety,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,12/04/2023,Special Event,Playground Ninety,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,12/05/2023,Sport - Youth,College Point Fields,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Queens,12/10/2023,Sport - Adult,Montbellier Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,12/11/2023,Special Event,Travers Park,FELONY,UNAUTHORIZED USE VEHICLE 2
Queens,12/12/2023,Sport - Youth,College Point Fields,FELONY,CRIMINAL CONTEMPT 1
Queens,12/14/2023,Sport - Youth,College Point Fields,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Queens,12/14/2023,Sport - Youth,College Point Fields,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,12/15/2023,Special Event,Playground Twenty One,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Queens,12/15/2023,Special Event,Playground Twenty One,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,12/17/2023,Special Event,Highland Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Queens,12/19/2023,Special Event,Athens Square,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Queens,12/19/2023,Special Event,Athens Square,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,12/20/2023,Special Event,Vernon Mall,FELONY,"LARCENY,GRAND BY EXTORTION"
Queens,12/20/2023,Special Event,Vernon Mall,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Queens,12/23/2023,Sport - Youth,Kissena Corridor West,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,12/23/2023,Sport - Youth,Kissena Corridor West,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,12/25/2023,Special Event,Travers Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,12/27/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,12/28/2023,Sport - Adult,Astoria Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,12/29/2023,Sport - Youth,Murray Playground,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Queens,12/31/2023,Special Event,Cunningham Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Queens,12/31/2023,Special Event,Cunningham Park,MISDEMEANOR,MATERIAL              OFFENSIV
Queens,12/31/2023,Special Event,Cunningham Park,VIOLATION,IMITATION PISTOL/AIR RIFLE
Staten Island,02/23/2023,Special Event,Walker Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Staten Island,04/27/2023,Sport - Adult,Willowbrook Park,MISDEMEANOR,"FORGERY,ETC.-MISD."
Staten Island,06/01/2023,Sport - Youth,Bloomingdale Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Staten Island,09/01/2023,Sport - Youth,Freshkills Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Staten Island,10/22/2023,Special Event,Silver Lake Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Staten Island,11/18/2023,Special Event,Conference House Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Staten Island,11/29/2023,Special Event,Naples Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Staten Island,12/01/2023,Special Event,LaTourette Park & Golf Course,FELONY,"BRIBERY,PUBLIC ADMINISTRATION"
Staten Island,12/07/2023,Sport - Youth,Bloomingdale Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION"
Staten Island,12/12/2023,Sport - Youth,Fairview Park,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Staten Island,12/14/2023,Special Event,LaTourette Park & Golf Course,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Staten Island,12/16/2023,Sport - Youth,Cpl. Thompson Park,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Staten Island,12/17/2023,Sport - Youth,Markham Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Bronx,02/15/2023,Special Event,St. James Park,MISDEMEANOR,ASSAULT 3
Bronx,04/21/2023,Special Event,Bryan Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Bronx,05/11/2023,Special Event,Ferry Point Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Bronx,07/14/2023,Special Event,Burns Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Bronx,08/04/2023,Sport - Adult,Noble Playground,FELONY,"TAMPERING 1,CRIMINAL"
