Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Brooklyn,09/08/2023,Special Event,Ocean Parkway Malls,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,10/05/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,10/08/2023,Sport - Adult,Dean Playground,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,10/15/2023,Special Event,Rodney Playground North,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Brooklyn,10/24/2023,Sport - Adult,Red Hook Recreation Area,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,10/28/2023,Special Event,Slope Park,FELONY,RAPE 1
Brooklyn,11/01/2023,Special Event,Martin Luther King Jr. Playground,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Brooklyn,11/05/2023,Sport - Adult,Bill Brown Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Brooklyn,11/06/2023,Special Event,Maria Hernandez Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,11/07/2023,Special Event,Maria Hernandez Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Brooklyn,11/09/2023,Sport - Adult,Ericsson Playground (JHS 126),FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,11/10/2023,Sport - Adult,St. John's Park,FELONY,STRANGULATION 1ST
Brooklyn,11/13/2023,Sport - Adult,Scarangella Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,11/13/2023,Sport - Adult,Scarangella Park,FELONY,"LARCENY,GRAND OF AUTO"
Brooklyn,11/13/2023,Sport - Adult,Scarangella Park,MISDEMEANOR,"MISCHIEF, CRIMINAL 4, OF MOTOR"
Brooklyn,11/15/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Brooklyn,11/20/2023,Sport - Youth,McCarren Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Brooklyn,11/24/2023,Sport - Youth,Betsy Head Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Brooklyn,11/25/2023,Special Event,Carroll Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,11/26/2023,Sport - Adult,McLaughlin Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Brooklyn,11/27/2023,Sport - Adult,Parade Ground,FELONY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)"
Brooklyn,11/30/2023,Special Event,Taaffe Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/01/2023,Special Event,Taaffe Playground,FELONY,UNAUTHORIZED USE VEHICLE 2
Brooklyn,12/04/2023,Special Event,Carroll Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/04/2023,Special Event,Carroll Park,FELONY,RAPE 3
Brooklyn,12/07/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,"ARSON, MOTOR VEHICLE 1 2 3 & 4"
Brooklyn,12/10/2023,Special Event,Park Slope Playground (PS 282),MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
Brooklyn,12/14/2023,Special Event,Amersfort Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/15/2023,Special Event,Prospect Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/17/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT BY ACQUIRING LOS"
Brooklyn,12/17/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,12/20/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,12/20/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM TRUCK"
Brooklyn,12/20/2023,Special Event,Fort Greene Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/21/2023,Special Event,Fort Greene Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,12/21/2023,Special Event,Fort Greene Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/23/2023,Special Event,Paerdegat Park,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Brooklyn,12/23/2023,Special Event,Paerdegat Park,MISDEMEANOR,ASSAULT 3
Brooklyn,12/24/2023,Sport - Youth,Bill Brown Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/24/2023,Sport - Youth,Bill Brown Playground,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Brooklyn,12/26/2023,Special Event,Dyker Beach Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/27/2023,Special Event,American Playground,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Brooklyn,12/29/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/30/2023,Special Event,Herbert Von King Park,FELONY,"ROBBERY,PERSONAL ELECTRONIC DEVICE"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,03/01/2023,Sport - Adult,Randall's Island Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Manhattan,03/01/2023,Sport - Adult,Randall's Island Park,MISDEMEANOR,UNLAWFUL DISCLOSURE OF AN INTIMATE IMAGE
Manhattan,04/01/2023,Special Event,Central Park,FELONY,"TAMPERING 1,CRIMINAL"
Manhattan,04/17/2023,Special Event,Central Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Manhattan,04/19/2023,Special Event,Central Park,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Manhattan,05/14/2023,Special Event,De Witt Clinton Park,FELONY,"TAMPERING 1,CRIMINAL"
Manhattan,05/25/2023,Special Event,East River Park,FELONY,PROMOTING A SEXUAL PERFORMANCE
Manhattan,06/10/2023,Special Event,J. Hood Wright Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,06/18/2023,Special Event,Stuyvesant Square,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Manhattan,06/21/2023,Special Event,Sutton Place Park,FELONY,"LARCENY,GRAND OF BICYCLE"
Manhattan,06/24/2023,Special Event,John Jay Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Manhattan,06/29/2023,Special Event,Joseph C. Sauer Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Manhattan,07/11/2023,Special Event,Sara D. Roosevelt Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,08/01/2023,Special Event,Battery Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Manhattan,09/06/2023,Special Event,Johnny Hartman Square,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Manhattan,09/12/2023,Special Event,Battery Park,FELONY,"CONTROLLED SUBSTANCE, SALE 5"
Manhattan,09/16/2023,Special Event,First Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Manhattan,09/18/2023,Sport - Youth,Holcombe Rucker Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Manhattan,10/01/2023,Special Event,Chelsea Green Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Manhattan,10/01/2023,Special Event,Chelsea Green Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,10/03/2023,Special Event,Bryant Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Manhattan,10/15/2023,Special Event,Happy Warrior Playground,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Manhattan,10/15/2023,Special Event,Happy Warrior Playground,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,10/15/2023,Special Event,Happy Warrior Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,10/19/2023,Special Event,Sutton Place Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Manhattan,10/23/2023,Sport - Youth,Columbus Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Manhattan,10/25/2023,Special Event,City Hall Park,FELONY,UNAUTHORIZED USE VEHICLE 2
Manhattan,10/26/2023,Sport - Adult,Pier 42,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,10/30/2023,Sport - Adult,Morningside Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Manhattan,11/01/2023,Sport - Adult,Sara D. Roosevelt Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,11/02/2023,Special Event,Father Duffy Square,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Manhattan,11/02/2023,Special Event,Father Duffy Square,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,11/08/2023,Sport - Adult,Chelsea Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,11/09/2023,Sport - Youth,Morningside Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Manhattan,11/19/2023,Special Event,Jackie Robinson Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Manhattan,11/20/2023,Special Event,Damrosch Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,11/25/2023,Sport - Youth,Highbridge Park,FELONY,"TAMPERING 1,CRIMINAL"
Manhattan,11/29/2023,Special Event,Carl Schurz Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Manhattan,12/03/2023,Sport - Adult,Riverside Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/04/2023,Special Event,Corporal John A. Seravalli Playground,MISDEMEANOR,"CONTEMPT,CRIMINAL"
Manhattan,12/05/2023,Special Event,Washington Square Park,FELONY,"CONTROLLED SUBSTANCE,SALE 3"
Manhattan,12/08/2023,Special Event,Bennett Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Manhattan,12/11/2023,Sport - Adult,Sara D. Roosevelt Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/15/2023,Special Event,St Catherine's Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/16/2023,Special Event,Central Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,12/16/2023,Special Event,Central Park,FELONY,STRANGULATION 1ST
Manhattan,12/18/2023,Special Event,City Hall Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED"
Manhattan,12/21/2023,Special Event,Dante Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,12/21/2023,Special Event,Dante Park,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,12/21/2023,Special Event,Dante Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/22/2023,Special Event,Madison Square Park,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Manhattan,12/23/2023,Special Event,Bowling Green,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Manhattan,12/23/2023,Special Event,Bowling Green,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/24/2023,Special Event,Union Square Park,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/26/2023,Sport - Youth,James J Walker Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Manhattan,12/27/2023,Special Event,Central Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Manhattan,12/30/2023,Special Event,Damrosch Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"BURGLARY, TRUCK UNKNOWN TIME"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Queens,05/01/2023,Sport - Adult,Chappetto Square,FELONY,"LARCENY,GRAND OF AUTO"
Queens,05/18/2023,Special Event,Springfield Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,06/11/2023,Sport - Youth,Flushing Fields,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,06/24/2023,Special Event,Haggerty Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,06/25/2023,Special Event,Marie Curie Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,06/26/2023,Special Event,Whitestone Playground,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Queens,07/14/2023,Special Event,Fort Totten Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Queens,07/28/2023,Sport - Adult,Hunter's Point South Park,FELONY,RAPE 1
Queens,08/06/2023,Sport - Adult,Dutch Kills Playground,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Queens,08/20/2023,Special Event,Travers Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Queens,08/26/2023,Special Event,Crocheron Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,08/29/2023,Special Event,Alley Pond Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,08/29/2023,Special Event,Alley Pond Park,FELONY,"LARCENY,GRAND OF AUTO"
Queens,09/15/2023,Special Event,Flushing Meadows Corona Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Queens,09/20/2023,Sport - Adult,Alley Athletic Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,09/25/2023,Sport - Adult,Flushing Meadows Corona Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,10/01/2023,Sport - Adult,Frank Principe Park / Maurice Park,FELONY,RAPE 3
Queens,10/02/2023,Sport - Adult,Queensbridge Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Queens,10/07/2023,Sport - Adult,Addabbo Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,10/11/2023,Special Event,Hinton Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,10/19/2023,Special Event,Playground Ninety,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,10/22/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,10/26/2023,Sport - Adult,Judge Moses Weinstein Playground / Vleigh Plgd.,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,10/26/2023,Sport - Adult,Judge Moses Weinstein Playground / Vleigh Plgd.,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,10/27/2023,Special Event,Forest Park,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Queens,10/30/2023,Sport - Adult,Juniper Valley Park,FELONY,"CONTROLLED SUBSTANCE,SALE 2"
Queens,11/01/2023,Sport - Youth,Flushing Meadows Corona Park,FELONY,"LARCENY,GRAND OF AUTO"
Queens,11/02/2023,Special Event,Rockaway Beach and Boardwalk,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Queens,11/06/2023,Special Event,Hunter's Point South Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,11/07/2023,Sport - Youth,Astoria Park,MISDEMEANOR,"LARCENY,PETIT BY CHECK USE"
Queens,11/11/2023,Special Event,Myrtle Avenue Clemens Triangle  / Ridgewood Veterans Triangle (OLD),FELONY,"LARCENY,GRAND FROM PERSON,PURS"
Queens,11/16/2023,Sport - Adult,Rockaway Beach Boardwalk,FELONY,RAPE 1
Queens,11/18/2023,Sport - Adult,Baisley Pond Park,FELONY,"LARCENY,GRAND OF AUTO"
Queens,11/19/2023,Special Event,Athens Square,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Queens,11/22/2023,Special Event,Travers Park,FELONY,PROMOTING A SEXUAL PERFORMANCE
